ÜRÜN,ÖLÇÜ,GÖRSEL,FİYAT,
Maxalto Fulgens Chair,,TRUE,TRUE,"**Ölçü:58x57cm H:45,5/80cm measurements"
Maxalto Febo Chair,TRUE,TRUE,TRUE,
Maxalto Febo Chair,TRUE,TRUE,TRUE,
Cassina Hola Chair,,TRUE,TRUE,
Knoll Gio Chair,TRUE,TRUE,TRUE,
Vitra Standard Chair,,TRUE,TRUE,"**Üründen 1 adet var, 2 adet fiyatı yazılmış düzeltelim it should be price for one"
Fritz Hansen Drop Chair,,TRUE,TRUE,**Fiyatın 2 adet fiyatı olduğunu belirtelim / it sould be price for two
Hal Wood Chair,TRUE,TRUE,TRUE,
Vitra Freeform Ottoman,TRUE,TRUE,TRUE,
Flexform Feel Good Ottoman,TRUE,TRUE,TRUE,
Cassina X Caracter Console,,,,TAKE İT OUT OF THE LİST
Knoll Florence Credenza Unit,TRUE,TRUE,TRUE,
B&B Italia Arne Bookcase,TRUE,TRUE,TRUE,
Vitra ESU Shelf,TRUE,TRUE,TRUE,
B&B Italia Liago Storage Unit,TRUE,TRUE,TRUE,
B&B Italia Pab Wall Unit,,TRUE,TRUE,**Ölçü: 540x55cm H:121cm (görselde 1.koyulan yanlış kırmızı detaylı ünite fotoğrafı direkt koyalım only the lifestyle picture is correct
B&B Italia Pab Wall Unit,TRUE,TRUE,TRUE,
Maxalto Windscreen In 3 Elements,TRUE,TRUE,TRUE,
Cassina Nuvola Rossa Bookcase,,,,TAKE İT OUT OF THE LİST
Cassina Nuage Bookcase,,TRUE,TRUE,**Ölçü: 215x46cm H:177cm measurmeents
Flexform Dragonfly Bed,TRUE,TRUE,TRUE,
Gallotti Radice Yuki Bed,TRUE,TRUE,TRUE,
Maison dada Mademoiselle Georges No4,TRUE,TRUE,TRUE,
Maison dada Mademoiselle Georges No1,TRUE,TRUE,TRUE,
Maison dada Tray Blue,,TRUE,TRUE,**Ölçü: Ø42cm H:64cm measurements
Maison Dada Red Portrait,,,,TAKE İT OUT OF THE LİST
Maison dada Of The Moon No3,TRUE,TRUE,TRUE,
Maison dada Du Roy Pink,TRUE,TRUE,TRUE,
Driade Ordini,TRUE,TRUE,TRUE,
Driade Ordini Bowl,TRUE,TRUE,TRUE,
Driade Root Vase,TRUE,TRUE,TRUE,
Driade Root Vase Small,TRUE,TRUE,TRUE,
Driade Roques,TRUE,TRUE,TRUE,
Driade Reinach,TRUE,TRUE,TRUE,
Driade Ordini,TRUE,TRUE,TRUE,
Driade Ordini,TRUE,TRUE,TRUE,
Driade Gear,TRUE,TRUE,TRUE,
Driade Gear,TRUE,TRUE,TRUE,
Driade Gear,TRUE,FALSE,TRUE,
Driade Gear,TRUE,TRUE,TRUE,
Driade Tenochtitlan,,TRUE,TRUE,
Driade Ordini,TRUE,TRUE,TRUE,
Driade Ordini,TRUE,TRUE,TRUE,
Driade Regnard II,TRUE,TRUE,TRUE,
Driade Regnard II,TRUE,FALSE,TRUE,**Beyaz olanın görselini koyalım lütfen üründen bir siyah bir de beyaz renk var
Driade Rolland I,,,,TAKE İT OUT OF THE LİST
Driade Rolland II,TRUE,TRUE,TRUE,
Paola C Small Titus III Blue Glass Vase,TRUE,TRUE,TRUE,
Paola C Longi,TRUE,TRUE,TRUE,
Paola C Longi,TRUE,TRUE,TRUE,
Paola C Riflessi,TRUE,TRUE,TRUE,
Paola C Cuppone,TRUE,TRUE,TRUE,
Paola C The Flat,TRUE,TRUE,TRUE,
Paola C Gambino,TRUE,TRUE,TRUE,
Paola C New Moon,TRUE,TRUE,TRUE,
Paola C Tiberius I,TRUE,TRUE,TRUE,
Paola C Titus II,TRUE,TRUE,TRUE,
Paola C The Short Vase Blue Small,TRUE,TRUE,TRUE,
Paola C The Tall Vase Blue,TRUE,TRUE,TRUE,
Paola C Gambino,TRUE,TRUE,TRUE,
Paola C Silver-Plated Titus,TRUE,TRUE,TRUE,
Paola C Silver-Plated Titus,TRUE,TRUE,TRUE,
Paola C Red Moon,TRUE,TRUE,TRUE,
Paola C Red Moon,,TRUE,TRUE,**Ölçü: Ø15cm H:6cm measurements
Exteta Sunset Basket Sofa,TRUE,TRUE,TRUE,
Exteta Sunset Dış Mekan Sandalye,,TRUE,TRUE,**Ölçü: 62x63cm H:45/85cm (6 adet fiyatı diye belirtelim) price for 6
Roda Piper Masa,FALSE,TRUE,FALSE,**Ölçü: 220x100cm H:75cm  (indirimli fiyatı 2500 euro yazalım) price is 2500 euro
B&B Italia Softcage Sofa,TRUE,TRUE,TRUE,
Cassina Trampoline Sofa,TRUE,TRUE,TRUE,
Cassina Esosoft 3 Seater Sofa,TRUE,TRUE,TRUE,
Paola Lenti Orbitry Sofa,,TRUE,TRUE,**Ölçü:202x117cm H:40/80cm measurements
Carl Hansen BK12 Sofa,,GÖRSEL KONULMAMIŞ,TRUE,**Ölçü:133x75cm H:67cm (2 adet yazılmış ama 1 adet var) measurements- price for one
Carl Hansen BK11 Armchair,,GÖRSEL KONULMAMIŞ,TRUE,**Ölçü:71x75cm H:67cm (2 adet fiyatıdır yazalım) price for 2
Gandia Blasco Isla Arosa Sofa,,TRUE,TRUE,**Ölçü:140x117cm H:80cm measurements
B&B Italia Hybrid Chaise Longue,,TRUE,TRUE,**Ölçü:134x144cm H:38/59cm measurements
B&B ITALIA Nooch Ottoman,TRUE,TRUE,TRUE,
Paola Lenti Portofino Armchair,TRUE,TRUE,TRUE,**1 adet fiyatı olduğunu belirtelim/ price for one
"Cassina Fauteuil Grand Confort, grand modèle, Ou",,TRUE,TRUE,
Flexform Ortigia Armchair,TRUE,TRUE,TRUE,
Paola Lenti Ami Armchair,TRUE,TRUE,TRUE,**Yazan fiyat 2 adet fiyatıdır diye belirtelim/ price for 2
B&B Italia Fat Armchair,,TRUE,FALSE,**İndirimli fiyatı 3350 Euro (1 adet fiyatı)
B&B Italia Borea Armchair,,,,TAKE İT OUT OF THE LİST
Roda Astra 002 Loung Chair,,TRUE,TRUE,
RODA | DOUBLE Dış Mekan Tekli Koltuk,TRUE,TRUE,TRUE,**2 adet fiyatı olduğunu belirtelim/price for 2
Roda Lawrence Lounge Chair,TRUE,GÖRSEL KONULMAMIŞ,TRUE,
Roda Lawrence Stool,TRUE,FALSE,TRUE,
Fendi Ohe Table,TRUE,TRUE,TRUE,
FENDICASA Ohe Chair,TRUE,TRUE,FALSE,"**İndirimsiz fiyata 26.910 Euro yazalım, indirimli fiyata 14.500 euro yazalım ve fiyatın 6 adet için olduğunu belirtelim"
B&B Italia Ginestra Table,,TRUE,TRUE,"**Ölçü:Ø180cm H:73,5CM measurements"
Coro Table,,,,TAKE İT OUT OF THE LİST
Fermob Table,TRUE,TRUE,TRUE,
B&B Italia Mirto Table,TRUE,TRUE,TRUE,
B&B Italia Mirto Outdoor,TRUE,TRUE,TRUE,
Fendi Kathy Outdoor Table,TRUE,TRUE,TRUE,
Fendi Kathy Outdoor Chair,TRUE,TRUE,TRUE,**Yazan fiyat 6 adet fiyatıdır diye belirtelim/ price for 6
Cassina Trampoline Table,TRUE,TRUE,TRUE,**6 adet fiyatı yazıyor ama üründen 1 adet var / price for 1
Cassina Trampoline Chair,TRUE,TRUE,,"**İndirimsiz fiyatına 12.390 Euro yazalım, indirimlii fiyatına 6800 Euro (6 adet fiyatıdır7 price for 6"
Fermob Outdoor masa,TRUE,TRUE,TRUE,**4 adet fiyatı yazılmış ama üründen 1 adet var düzeltelim price for 1
Gandia Blasco Isla Chair,TRUE,TRUE,TRUE,
Flexform Ortigia Dining Chair,TRUE,TRUE,,**İndirimsiz fiyatına 23.442 Euro yazalım 
Roda DOUBLE 011 chair,TRUE,TRUE,TRUE,**Yazan fiyat 2 adet fiyatıdır diye belirtelim/ price for 2
Andreu World Trenza Chair,TRUE,TRUE,TRUE,**Yazan fiyat 2 adet fiyatıdır diye belirtelim/ price for 2
B&B Italia Mirto Chair,FALSE,TRUE,TRUE,"**Ölçü: 58,5x53,5cm H:46/80,5cm measurmeents"
